,Date,Station,TempF_Avg,Dew PtF_Low,Humidity%_Avg,Speedmph_Avg,Pressurein_High
60,2020-03-01,KSCMONCK13,47.9,27.0,67,2.2,30.38
61,2020-03-02,KSCMONCK13,58.6,40.6,76,4.6,30.29
62,2020-03-03,KSCMONCK13,65.7,59.4,94,4.2,30.02
63,2020-03-04,KSCMONCK13,60.1,54.5,99,1.3,30.09
64,2020-03-05,KSCMONCK13,53.4,50.7,99,3.2,30.19
65,2020-03-06,KSCMONCK13,54.8,32.7,73,3.7,30.24
66,2020-03-07,KSCMONCK13,48.4,29.8,59,4.4,30.52
67,2020-03-08,KSCMONCK13,50.2,29.8,68,1.5,30.66
68,2020-03-09,KSCMONCK13,57.7,41.4,80,2.6,30.65
69,2020-03-10,KSCMONCK13,64.6,54.3,83,2.8,30.5
70,2020-03-11,KSCMONCK13,67.5,59.0,86,2.5,30.25
71,2020-03-12,KSCMONCK13,68.9,58.8,86,2.0,30.08
72,2020-03-13,KSCMONCK13,74.4,61.5,77,2.7,30.2
73,2020-03-14,KSCMONCK13,66.5,41.7,72,2.1,30.35
74,2020-03-15,KSCMONCK13,61.4,52.2,89,3.0,30.37
75,2020-03-16,KSCMONCK13,57.3,48.4,83,1.7,30.42
76,2020-03-17,KSCMONCK13,62.7,55.0,92,0.8,30.32
77,2020-03-18,KSCMONCK13,65.7,57.0,90,2.0,30.38
78,2020-03-19,KSCMONCK13,71.5,61.0,86,3.2,30.34
79,2020-03-20,KSCMONCK13,73.7,65.1,85,4.6,30.34
80,2020-03-21,KSCMONCK13,74.6,63.7,82,2.1,30.24
81,2020-03-22,KSCMONCK13,59.1,52.2,96,2.7,30.38
82,2020-03-23,KSCMONCK13,56.3,51.6,98,1.1,30.36
83,2020-03-24,KSCMONCK13,64.7,61.0,99,1.6,30.15
84,2020-03-25,KSCMONCK13,69.4,56.3,88,3.8,29.99
85,2020-03-26,KSCMONCK13,59.3,50.5,85,2.1,30.17
86,2020-03-27,KSCMONCK13,71.0,54.5,85,2.4,30.04
87,2020-03-28,KSCMONCK13,75.1,65.7,83,3.1,30.04
88,2020-03-29,KSCMONCK13,76.6,66.9,84,3.2,30.11
89,2020-03-30,KSCMONCK13,71.5,50.4,73,0.8,30.12
90,2020-03-31,KSCMONCK13,61.8,50.2,89,2.0,29.96
91,2020-04-01,KSCMONCK13,55.2,45.9,83,3.2,30.0
92,2020-04-02,KSCMONCK13,56.3,42.6,71,1.5,30.09
93,2020-04-03,KSCMONCK13,60.3,42.1,68,0.9,30.06
94,2020-04-04,KSCMONCK13,64.4,39.4,61,0.9,30.03
95,2020-04-05,KSCMONCK13,63.7,52.7,82,2.4,30.11
96,2020-04-06,KSCMONCK13,68.5,53.1,76,2.2,30.16
97,2020-04-07,KSCMONCK13,74.3,61.9,75,2.5,30.08
98,2020-04-08,KSCMONCK13,75.4,62.8,79,1.4,29.93
99,2020-04-09,KSCMONCK13,77.2,53.2,69,2.0,29.72
100,2020-04-10,KSCMONCK13,64.0,30.2,47,1.8,30.0
101,2020-04-11,KSCMONCK13,57.0,38.5,71,2.3,30.18
102,2020-04-12,KSCMONCK13,66.1,50.9,91,4.9,30.16
103,2020-04-13,KSCMONCK13,73.8,64.0,89,7.6,30.02
104,2020-04-14,KSCMONCK13,71.4,57.7,81,1.8,30.07
105,2020-04-15,KSCMONCK13,58.6,48.7,95,2.1,30.14
106,2020-04-16,KSCMONCK13,56.9,37.2,73,0.9,30.31
107,2020-04-17,KSCMONCK13,62.2,45.0,78,3.1,30.35
108,2020-04-18,KSCMONCK13,69.8,57.7,83,2.0,30.07
